Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Task ID temp,Bin_Size of ontology ABox,Bin_Avg Min Explanation Size,strata,split
1hop-Thing_alec_john_archer_1927-clare-hasAncestor-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasAncestor> ?object },hasAncestor,"violet_heath_1887, james_alexander_archer_1882, alec_john_archer_1927",0,0,0,1hop-Thing_alec_john_archer_1927-clare-hasAncestor,15.0,,15.0_nan,train
1hop-Thing_alec_john_archer_1927-helen-isBloodrelationOf-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#helen_archer_1955> <http://www.example.com/genealogy.owl#isBloodrelationOf> ?object },isBloodrelationOf,"clare_archer_1957, anne_archer_1964, paul_archer_1950",0,0,0,1hop-Thing_alec_john_archer_1927-helen-isBloodrelationOf,15.0,,15.0_nan,train
1hop-Thing_alec_john_archer_1927-clare-hasParent-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasParent> ?object },hasParent,alec_john_archer_1927,2,2,10,1hop-Thing_alec_john_archer_1927-clare-hasParent,15.0,30.0,15.0_30.0,train
1hop-Thing_alexander_ilych_brown_1988-clare-isAncestorOf-BIN,Thing_alexander_ilych_brown_1988,43,1,Property Assertion,Binary,SELECT ?object WHERE { <clare_bright_1966> <isAncestorOf> ?object },isAncestorOf,true,2,2,6,1hop-Thing_alexander_ilych_brown_1988-clare-isAncestorOf,,30.0,nan_30.0,train
1hop-Thing_alexander_ilych_brown_1988-clare-isAncestorOf-MC,Thing_alexander_ilych_brown_1988,43,1,Property Assertion,Multi Choice,SELECT ?object WHERE { <clare_bright_1966> <isAncestorOf> ?object },isAncestorOf,clare_bright_1966,2,2,6,1hop-Thing_alexander_ilych_brown_1988-clare-isAncestorOf,,30.0,nan_30.0,train
1hop-Thing_alexander_ilych_brown_1988-clare-isAncestorOf-MC,Thing_alexander_ilych_brown_1988,43,1,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#clare_bright_1966> <http://www.example.com/genealogy.owl#isAncestorOf> ?object },isAncestorOf,alexander_ilych_brown_1988,2,2,6,1hop-Thing_alexander_ilych_brown_1988-clare-isAncestorOf,,30.0,nan_30.0,train
1hop-Thing_alfred_steward_1846-harsley-hasBrother-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <harsley_steward_1839> <hasBrother> ?object },hasBrother,true,1,1,1,1hop-Thing_alfred_steward_1846-harsley-hasBrother,6.0,15.0,6.0_15.0,train
1hop-Thing_alfred_steward_1846-houghton-hasRelation-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <houghton_steward_1841> <hasRelation> ?object },hasRelation,true,1,4,10,1hop-Thing_alfred_steward_1846-houghton-hasRelation,6.0,15.0,6.0_15.0,train
1hop-Thing_alfred_steward_1846-harsley-hasRelation-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <harsley_steward_1839> <hasRelation> ?object },hasRelation,true,1,4,10,1hop-Thing_alfred_steward_1846-harsley-hasRelation,6.0,15.0,6.0_15.0,train
1hop-Thing_alfred_steward_1846-houghton-hasRelation-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <houghton_steward_1841> <hasRelation> ?object },hasRelation,true,20,20,1,1hop-Thing_alfred_steward_1846-houghton-hasRelation,6.0,307.0,6.0_307.0,train
1hop-Thing_alfred_steward_1846-harsley-hasRelation-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <harsley_steward_1839> <hasRelation> ?object },hasRelation,true,20,20,1,1hop-Thing_alfred_steward_1846-harsley-hasRelation,6.0,307.0,6.0_307.0,train
1hop-Thing_alfred_steward_1846-houghton-hasRelation-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <houghton_steward_1841> <hasRelation> ?object },hasRelation,true,2,7,10,1hop-Thing_alfred_steward_1846-houghton-hasRelation,6.0,30.0,6.0_30.0,train
1hop-Thing_alfred_steward_1846-harsley-hasRelation-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <harsley_steward_1839> <hasRelation> ?object },hasRelation,true,2,7,10,1hop-Thing_alfred_steward_1846-harsley-hasRelation,6.0,30.0,6.0_30.0,train
1hop-Thing_alfred_steward_1846-alfred-hasParent-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,SELECT ?object WHERE { <alfred_steward_1846> <hasParent> ?object },hasParent,true,1,3,10,1hop-Thing_alfred_steward_1846-alfred-hasParent,6.0,15.0,6.0_15.0,train
1hop-Thing_alfred_steward_1846-alfred-hasParent-MC,Thing_alfred_steward_1846,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <alfred_steward_1846> <hasParent> ?object },hasParent,alfred_steward_1846,1,3,10,1hop-Thing_alfred_steward_1846-alfred-hasParent,6.0,15.0,6.0_15.0,train
1hop-Thing_alfred_steward_1846-alfred-hasParent-MC,Thing_alfred_steward_1846,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#alfred_steward_1846> <http://www.example.com/genealogy.owl#hasParent> ?object },hasParent,"john_steward_1802, eleanor_harsley_1808",0,0,0,1hop-Thing_alfred_steward_1846-alfred-hasParent,6.0,,6.0_nan,train
1hop-Thing_alfred_steward_1846-harsley-hasBrother-MC,Thing_alfred_steward_1846,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#harsley_steward_1839> <http://www.example.com/genealogy.owl#hasBrother> ?object },hasBrother,alfred_steward_1846,1,1,1,1hop-Thing_alfred_steward_1846-harsley-hasBrother,6.0,15.0,6.0_15.0,train
1hop-Thing_alfred_steward_1846-houghton-hasRelation-MC,Thing_alfred_steward_1846,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#houghton_steward_1841> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"john_steward_1802, eleanor_harsley_1808, harsley_steward_1839, alfred_steward_1846",0,0,0,1hop-Thing_alfred_steward_1846-houghton-hasRelation,6.0,,6.0_nan,train
1hop-Thing_alfred_steward_1846-harsley-hasRelation-MC,Thing_alfred_steward_1846,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#harsley_steward_1839> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"john_steward_1802, eleanor_harsley_1808, houghton_steward_1841, alfred_steward_1846",0,0,0,1hop-Thing_alfred_steward_1846-harsley-hasRelation,6.0,,6.0_nan,train
1hop-Thing_alice_whitfield_1859-harriet-isAncestorOf-BIN,Thing_alice_whitfield_1859,43,4,Property Assertion,Binary,SELECT ?object WHERE { <harriet_ann_young_1825> <isAncestorOf> ?object },isAncestorOf,true,1,3,10,1hop-Thing_alice_whitfield_1859-harriet-isAncestorOf,6.0,15.0,6.0_15.0,train
1hop-Thing_alice_whitfield_1859-harriet-isAncestorOf-MC,Thing_alice_whitfield_1859,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <harriet_ann_young_1825> <isAncestorOf> ?object },isAncestorOf,"harriet_ann_young_1825, james_whitfield_1821",0,0,0,1hop-Thing_alice_whitfield_1859-harriet-isAncestorOf,6.0,,6.0_nan,train
1hop-Thing_alice_whitfield_1859-harriet-isAncestorOf-MC,Thing_alice_whitfield_1859,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#harriet_ann_young_1825> <http://www.example.com/genealogy.owl#isAncestorOf> ?object },isAncestorOf,alice_whitfield_1859,1,3,10,1hop-Thing_alice_whitfield_1859-harriet-isAncestorOf,6.0,15.0,6.0_15.0,train
1hop-Thing_amanda_usher_1968-patricia-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,SELECT ?object WHERE { <patricia_ann_kingswood_1944> <hasRelation> ?object },hasRelation,true,2,4,10,1hop-Thing_amanda_usher_1968-patricia-hasRelation,11.0,30.0,11.0_30.0,train
1hop-Thing_amanda_usher_1968-patricia-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,SELECT ?object WHERE { <patricia_ann_kingswood_1944> <hasRelation> ?object },hasRelation,true,2,6,10,1hop-Thing_amanda_usher_1968-patricia-hasRelation,11.0,30.0,11.0_30.0,train
1hop-Thing_amanda_usher_1968-patricia-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,SELECT ?object WHERE { <patricia_ann_kingswood_1944> <hasRelation> ?object },hasRelation,true,20,20,1,1hop-Thing_amanda_usher_1968-patricia-hasRelation,11.0,307.0,11.0_307.0,train
1hop-Thing_amanda_usher_1968-andrew-isBloodrelationOf-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,SELECT ?object WHERE { <andrew_usher_1965> <isBloodrelationOf> ?object },isBloodrelationOf,true,2,2,10,1hop-Thing_amanda_usher_1968-andrew-isBloodrelationOf,11.0,30.0,11.0_30.0,train
1hop-Thing_amanda_usher_1968-amanda-isBloodrelationOf-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,SELECT ?object WHERE { <amanda_usher_1968> <isBloodrelationOf> ?object },isBloodrelationOf,true,2,2,10,1hop-Thing_amanda_usher_1968-amanda-isBloodrelationOf,11.0,30.0,11.0_30.0,train
1hop-Thing_amanda_usher_1968-andrew-isBloodrelationOf-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <andrew_usher_1965> <isBloodrelationOf> ?object },isBloodrelationOf,andrew_usher_1965,2,2,10,1hop-Thing_amanda_usher_1968-andrew-isBloodrelationOf,11.0,30.0,11.0_30.0,train
1hop-Thing_amanda_usher_1968-amanda-isBloodrelationOf-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <amanda_usher_1968> <isBloodrelationOf> ?object },isBloodrelationOf,amanda_usher_1968,2,2,10,1hop-Thing_amanda_usher_1968-amanda-isBloodrelationOf,11.0,30.0,11.0_30.0,train
1hop-Thing_amanda_usher_1968-andrew-isBloodrelationOf-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#andrew_usher_1965> <http://www.example.com/genealogy.owl#isBloodrelationOf> ?object },isBloodrelationOf,amanda_usher_1968,2,2,10,1hop-Thing_amanda_usher_1968-andrew-isBloodrelationOf,11.0,30.0,11.0_30.0,train
1hop-Thing_amanda_usher_1968-patricia-hasRelation-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#patricia_ann_kingswood_1944> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"finlay_alex_clamper_2002, louise_clamper_1998, mega_clamper_1995, andrew_usher_1965, amanda_usher_1968",0,0,0,1hop-Thing_amanda_usher_1968-patricia-hasRelation,11.0,,11.0_nan,train
1hop-Thing_amanda_usher_1968-amanda-isBloodrelationOf-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#isBloodrelationOf> ?object },isBloodrelationOf,andrew_usher_1965,2,2,10,1hop-Thing_amanda_usher_1968-amanda-isBloodrelationOf,11.0,30.0,11.0_30.0,train
1hop-Thing_amelia_jessop_1837-edward-isAncestorOf-BIN,Thing_amelia_jessop_1837,43,6,Property Assertion,Binary,SELECT ?object WHERE { <edward_jessop_1802> <isAncestorOf> ?object },isAncestorOf,true,1,3,10,1hop-Thing_amelia_jessop_1837-edward-isAncestorOf,11.0,15.0,11.0_15.0,train
1hop-Thing_amelia_jessop_1837-edward-isAncestorOf-MC,Thing_amelia_jessop_1837,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#edward_jessop_1802> <http://www.example.com/genealogy.owl#isAncestorOf> ?object },isAncestorOf,amelia_jessop_1837,1,3,10,1hop-Thing_amelia_jessop_1837-edward-isAncestorOf,11.0,15.0,11.0_15.0,train
1hop-Thing_anne_lockey_1829-elizabeth-hasRelation-BIN,Thing_anne_lockey_1829,43,4,Property Assertion,Binary,SELECT ?object WHERE { <elizabeth_rivers_1787> <hasRelation> ?object },hasRelation,true,20,20,1,1hop-Thing_anne_lockey_1829-elizabeth-hasRelation,6.0,307.0,6.0_307.0,train
1hop-Thing_anne_lockey_1829-elizabeth-hasRelation-BIN,Thing_anne_lockey_1829,43,4,Property Assertion,Binary,SELECT ?object WHERE { <elizabeth_rivers_1787> <hasRelation> ?object },hasRelation,true,1,2,6,1hop-Thing_anne_lockey_1829-elizabeth-hasRelation,6.0,15.0,6.0_15.0,train
1hop-Thing_anne_lockey_1829-sarah-hasSister-BIN,Thing_anne_lockey_1829,43,4,Property Assertion,Binary,SELECT ?object WHERE { <sarah_lockey_1810> <hasSister> ?object },hasSister,true,1,1,1,1hop-Thing_anne_lockey_1829-sarah-hasSister,6.0,15.0,6.0_15.0,train
1hop-Thing_anne_lockey_1829-anne-hasParent-BIN,Thing_anne_lockey_1829,43,4,Property Assertion,Binary,SELECT ?object WHERE { <anne_lockey_1829> <hasParent> ?object },hasParent,true,1,3,10,1hop-Thing_anne_lockey_1829-anne-hasParent,6.0,15.0,6.0_15.0,train
1hop-Thing_anne_lockey_1829-sarah-hasSister-MC,Thing_anne_lockey_1829,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <sarah_lockey_1810> <hasSister> ?object },hasSister,"sarah_lockey_1810, mary_lockey_1818",0,0,0,1hop-Thing_anne_lockey_1829-sarah-hasSister,6.0,,6.0_nan,train
1hop-Thing_anne_lockey_1829-anne-hasParent-MC,Thing_anne_lockey_1829,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <anne_lockey_1829> <hasParent> ?object },hasParent,anne_lockey_1829,1,3,10,1hop-Thing_anne_lockey_1829-anne-hasParent,6.0,15.0,6.0_15.0,train
1hop-Thing_anne_lockey_1829-sarah-hasSister-MC,Thing_anne_lockey_1829,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#sarah_lockey_1810> <http://www.example.com/genealogy.owl#hasSister> ?object },hasSister,anne_lockey_1829,1,1,1,1hop-Thing_anne_lockey_1829-sarah-hasSister,6.0,15.0,6.0_15.0,train
1hop-Thing_anne_lockey_1829-anne-hasParent-MC,Thing_anne_lockey_1829,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#anne_lockey_1829> <http://www.example.com/genealogy.owl#hasParent> ?object },hasParent,"elizabeth_rivers_1787, john_lockey_1789",0,0,0,1hop-Thing_anne_lockey_1829-anne-hasParent,6.0,,6.0_nan,train
1hop-Thing_anne_lockey_1829-elizabeth-hasRelation-MC,Thing_anne_lockey_1829,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#elizabeth_rivers_1787> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"sarah_lockey_1810, anne_lockey_1829, mary_lockey_1818, john_lockey_1789",0,0,0,1hop-Thing_anne_lockey_1829-elizabeth-hasRelation,6.0,,6.0_nan,train
1hop-Thing_anne_lockey_1829-john-type-BIN,Thing_anne_lockey_1829,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_lockey_1789> rdf:type <http://www.example.com/genealogy.owl#Person> },type,true,2,2,10,1hop-Thing_anne_lockey_1829-john-type,6.0,30.0,6.0_30.0,train
1hop-Thing_anne_lockey_1829-john-type-BIN,Thing_anne_lockey_1829,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_lockey_1789> rdf:type <http://www.example.com/genealogy.owl#DomainEntity> },type,true,2,2,10,1hop-Thing_anne_lockey_1829-john-type,6.0,30.0,6.0_30.0,train
1hop-Thing_anne_lockey_1829-john-type-BIN,Thing_anne_lockey_1829,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_lockey_1789> rdf:type <http://www.example.com/genealogy.owl#Man> },type,true,2,3,3,1hop-Thing_anne_lockey_1829-john-type,6.0,30.0,6.0_30.0,train
1hop-Thing_anne_lockey_1829-john-type-BIN,Thing_anne_lockey_1829,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_lockey_1789> rdf:type <http://www.example.com/genealogy.owl#Ancestor> },type,true,2,14,9,1hop-Thing_anne_lockey_1829-john-type,6.0,30.0,6.0_30.0,train
