query_index,sparql_query,generated_question,explanation_nl,explanation_found,explanation_tag_length,explanation_count,explanation_steps_count,triple_keys,answer_count,language,answer_type,task_type,model,model_version_sparql,python_version,timestamp_request,response_time_sec,success,temperature,max_tokens,top_p,presence_penalty,frequency_penalty
12,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ada_steward_1871> },Is there a relationship between Mary Ellen Steward and Ada Steward?,"Ada Steward, born in 1871, is related to Mary Ellen Steward, born in 1855. The property ""hasRelation"" is symmetric.",True,3,2,2,ada_steward_1871(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:14.582008,0.822,True,0.0,4096,1.0,0.0,0.0
13,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> ?x },Who are the relatives of Mary Ellen Steward?,"Ada Steward, born in 1871, is related to Mary Ellen Steward, born in 1855. The property ""hasRelation"" is symmetric. James Steward, born in 1830, is related to Mary Ellen Steward, born in 1855. The relationship defined by the property ""hasRelation"" is symmetric. Mary Ellen Steward, born in 1855, is a blood relation of John Tacey Steward, born in 1873. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation. Mary Ellen Steward, born in 1855, is a blood relation of Mary Ellen Steward, born in 1855. The property ""isBloodrelationOf"" is a sub-property of the property ""hasRelation. Susannah Tacey has a relationship with Mary Ellen Steward. The property ""hasRelation"" is symmetric.",True,15,8,10,ada_steward_1871(3); james_steward_1830(3); john_tacey_steward_1873(3); mary_ellen_steward_1855(3); susannah_tacey_1834(3),5,English,MC,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:42:26.366632,0.567,True,0.0,4096,1.0,0.0,0.0
14,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },Is Susannah Tacey a person?,James Steward has a relationship with Susannah Tacey. The relationship is symmetric. The person has a relationship.,True,5,13,3,Person(5),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:29.533067,0.688,True,0.0,4096,1.0,0.0,0.0
15,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does Susannah Tacey belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:30.664149,1.029,True,0.0,4096,1.0,0.0,0.0
16,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },Is James Steward a person?,"Ada Steward, born in 1871, is related to James Steward, born in 1830. The relationship is symmetric. The person has a relationship.",True,5,13,3,Person(5),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:42:34.241597,0.513,True,0.0,4096,1.0,0.0,0.0
17,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does James Steward belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:35.150990,0.79,True,0.0,4096,1.0,0.0,0.0
18,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },Is Susannah Tacey a domain entity?,Susannah Tacey is a person. A person is a type of domain entity.,True,3,1,2,DomainEntity(3),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:37.620886,0.655,True,0.0,4096,1.0,0.0,0.0
19,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does Susannah Tacey belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:38.543575,0.819,True,0.0,4096,1.0,0.0,0.0
20,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },Is there a relationship between Ada Steward and James Steward?,"Ada Steward, born in 1871, has an ancestor named James Steward, who was born in 1830. The property ""hasAncestor"" is a subproperty of the property ""hasRelation.",True,3,2,2,james_steward_1830(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:41.616788,0.922,True,0.0,4096,1.0,0.0,0.0
21,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> ?x },Which individuals are related to Ada Steward?,"Ada Steward 1871 is a blood relation of Ada Steward 1871. The property ""isBloodrelationOf"" is a sub-property of the property ""hasRelation. Ada Steward, born in 1871, has an ancestor named James Steward, who was born in 1830. The property ""hasAncestor"" is a subproperty of the property ""hasRelation. John Tacey Steward, born in 1873, has a relationship with Ada Steward, born in 1871. The relationship defined by the property ""hasRelation"" is symmetric. Mary Ellen Steward, born in 1855, has a relationship with Ada Steward, born in 1871. The property ""hasRelation"" is symmetric. Susannah Tacey, born in 1834, has a relationship with Ada Steward, born in 1871. The property ""hasRelation"" is symmetric.",True,15,10,10,ada_steward_1871(3); james_steward_1830(3); john_tacey_steward_1873(3); mary_ellen_steward_1855(3); susannah_tacey_1834(3),5,English,MC,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:42:57.486123,0.718,True,0.0,4096,1.0,0.0,0.0
22,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },Is Mary Ellen Steward related to James Steward?,"James Steward is related to Mary Ellen Steward. The property ""hasRelation"" is symmetric.",True,3,1,2,james_steward_1830(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:00.354382,0.719,True,0.0,4096,1.0,0.0,0.0
23,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Ancestor> },Is James Steward an ancestor?,"James Steward is a person. James Steward, born in 1830, is an ancestor of Ada Steward, born in 1871. Ada Steward is a person. The complex intersection is satisfied by two components.",True,5,1,4,Ancestor(5),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:43:05.276442,0.72,True,0.0,4096,1.0,0.0,0.0
24,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does James Steward belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:06.131164,0.752,True,0.0,4096,1.0,0.0,0.0
25,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_tacey_steward_1873> },Is there a relationship between Mary Ellen Steward and John Tacey Steward?,"Mary Ellen Steward, born in 1855, is a blood relative of John Tacey Steward, born in 1873. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation.",True,3,2,2,john_tacey_steward_1873(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:09.774129,0.924,True,0.0,4096,1.0,0.0,0.0
26,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Woman> },Is Susannah Tacey a woman?,"Ada Steward, born in 1871, has a mother named Susannah Tacey, born in 1834. The woman has a mother.",True,2,1,2,Woman(2),1,English,BIN,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:43:13.050541,1.025,True,0.0,4096,1.0,0.0,0.0
27,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },What class or classes does Susannah Tacey belong to?,,False,0,0,0,,0,English,MC,Membership,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:43:14.073595,0.92,True,0.0,4096,1.0,0.0,0.0
28,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> },Is there a relationship between Ada Steward and Mary Ellen Steward?,"Mary Ellen Steward, born in 1855, has a relationship with Ada Steward, born in 1871. The property ""hasRelation"" is symmetric.",True,3,2,2,mary_ellen_steward_1855(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:17.743739,0.721,True,0.0,4096,1.0,0.0,0.0
29,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_tacey_steward_1873> },Is there a relationship between Ada Steward and John Tacey Steward?,"John Tacey Steward, born in 1873, has a relationship with Ada Steward, born in 1871. The property ""hasRelation"" is symmetric.",True,3,2,2,john_tacey_steward_1873(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:21.447357,0.717,True,0.0,4096,1.0,0.0,0.0
30,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },Is there a relationship between Ada Steward and Susannah Tacey?,"Susannah Tacey, born in 1834, has a relationship with Ada Steward, born in 1871. The property ""hasRelation"" is symmetric.",True,3,2,2,susannah_tacey_1834(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:24.720018,0.81,True,0.0,4096,1.0,0.0,0.0
31,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> },Does Mary Ellen Steward have a relationship with herself?,"Mary Ellen Steward, born in 1855, is a blood relation of Mary Ellen Steward, born in 1855. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation.",True,3,2,2,mary_ellen_steward_1855(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:28.007830,0.828,True,0.0,4096,1.0,0.0,0.0
32,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ada_steward_1871> },Does Ada Steward have a relationship with herself?,"Ada Steward 1871 is a blood relation of Ada Steward 1871. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation.",True,3,2,2,ada_steward_1871(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:43:30.784170,0.859,True,0.0,4096,1.0,0.0,0.0
33,ASK WHERE { <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },Is there a relationship between Mary Ellen Steward and Susannah Tacey?,"Susannah Tacey has a relationship with Mary Ellen Steward. The relationship defined by the property ""hasRelation"" is symmetric.",True,3,1,2,susannah_tacey_1834(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:36.703417,0.969,True,0.0,4096,1.0,0.0,0.0
34,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ethel_archer_1912> },Is Ethel Archer related to herself?,"Ethel Archer, born in 1912, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric.",True,3,2,2,ethel_archer_1912(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:39.971548,0.81,True,0.0,4096,1.0,0.0,0.0
35,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> ?x },Which individuals are related to Ethel Archer?,"Alan John Dowse, born in 1936, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric. Ethel Archer, born in 1912, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric. Martin Dowse, born in 1944, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric. Maureen Dowse, born in 1939, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric.",True,12,5,8,alan_john_dowse_1936(3); ethel_archer_1912(3); martin_dowse_1944(3); maureen_dowse_1939(3),4,English,MC,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:47.661326,0.628,True,0.0,4096,1.0,0.0,0.0
36,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#martin_dowse_1944> },Do Ethel Archer and Martin Dowse have a relationship?,"Martin Dowse, born in 1944, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric.",True,3,1,2,martin_dowse_1944(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:52.944810,2.521,True,0.0,4096,1.0,0.0,0.0
37,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#alan_john_dowse_1936> },Is there a relationship between Ethel Archer and Alan John Dowse?,"Alan John Dowse, born in 1936, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric.",True,3,1,2,alan_john_dowse_1936(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:43:55.723854,0.692,True,0.0,4096,1.0,0.0,0.0
38,ASK WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#maureen_dowse_1939> },Is there a relationship between Ethel Archer and Maureen Dowse?,"Maureen Dowse, born in 1939, has a relationship with Ethel Archer, born in 1912. The property ""hasRelation"" is symmetric.",True,3,1,2,maureen_dowse_1939(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_62a23a81ef),3.11.9,2025-08-14T16:43:59.644048,1.643,True,0.0,4096,1.0,0.0,0.0
39,ASK WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#iris_ellen_archer_1906> },Is Clare Archer related to Iris Ellen Archer?,"Iris Ellen Archer, born in 1906, has a relationship with Clare Archer, born in 1957. The relationship defined by the property ""hasRelation"" is symmetric.",True,3,1,2,iris_ellen_archer_1906(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:44:02.875169,1.085,True,0.0,4096,1.0,0.0,0.0
40,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#clare_archer_1957> <http://www.example.com/genealogy.owl#hasRelation> ?x },Who is related to Clare Archer?,"Alec John Archer, born in 1927, has a relationship with Clare Archer, born in 1957. The property ""hasRelation"" is symmetric. Clare Archer, born in 1957, is a blood relative of Anne Archer, born in 1964. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation. Clare Archer, born in 1957, has a relationship with Clare Archer, born in 1957. The property ""hasRelation"" is symmetric. Clare Archer, born in 1957, is a blood relative of Helen Archer, born in 1955. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation. Iris Ellen Archer, born in 1906, has a relationship with Clare Archer, born in 1957. The property ""hasRelation"" is symmetric. Clare Archer, born in 1957, has an ancestor named James Alexander Archer, who was born in 1882. The property ""hasAncestor"" is a subproperty of the property ""hasRelation. Paul Archer, born in 1950, has a relationship with Clare Archer, born in 1957. The property ""hasRelation"" is symmetric. Clare Archer, born in 1957, has an ancestor named Violet Heath, who was born in 1887. The property ""hasAncestor"" is a subproperty of the property ""hasRelation.",True,24,15,16,alec_john_archer_1927(3); anne_archer_1964(3); clare_archer_1957(3); helen_archer_1955(3); iris_ellen_archer_1906(3); james_alexander_archer_1882(3); paul_archer_1950(3); violet_heath_1887(3),8,English,MC,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:44:19.959095,0.786,True,0.0,4096,1.0,0.0,0.0
41,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#iris_ellen_archer_1906> },Is there a relationship between Alec John Archer and Iris Ellen Archer?,"Alec John Archer, born in 1927, is a blood relative of Iris Ellen Archer, born in 1906. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation.",True,3,2,2,iris_ellen_archer_1906(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:44:23.552621,0.974,True,0.0,4096,1.0,0.0,0.0
42,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> ?x },Which individuals are related to Alec John Archer?,"Alec John Archer, born in 1927, has a relationship with Alec John Archer, born in 1927. The property ""hasRelation"" is symmetric. Anne Archer, born in 1964, is related to Alec John Archer, born in 1927. The property ""hasRelation"" is symmetric. Clare Archer, born in 1957, has a relationship with Alec John Archer, born in 1927. The relationship defined by the property ""hasRelation"" is symmetric. Helen Archer, born in 1955, has a relationship with Alec John Archer, born in 1927. The property ""hasRelation"" is symmetric. Alec John Archer, born in 1927, is a blood relative of Iris Ellen Archer, born in 1906. The property ""isBloodrelationOf"" is a subproperty of the property ""hasRelation. Alec John Archer, born in 1927, has an ancestor named James Alexander Archer, who was born in 1882. The property ""hasAncestor"" is a subproperty of the property ""hasRelation. Paul Archer, born in 1950, has a relationship with Alec John Archer, born in 1927. The relationship defined by the property ""hasRelation"" is symmetric. Alec John Archer, born in 1927, has an ancestor named Violet Heath, who was born in 1887. The property ""hasAncestor"" is a subproperty of the property ""hasRelation.",True,24,12,16,alec_john_archer_1927(3); anne_archer_1964(3); clare_archer_1957(3); helen_archer_1955(3); iris_ellen_archer_1906(3); james_alexander_archer_1882(3); paul_archer_1950(3); violet_heath_1887(3),8,English,MC,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:44:44.875187,0.794,True,0.0,4096,1.0,0.0,0.0
43,ASK WHERE { <http://www.example.com/genealogy.owl#alec_john_archer_1927> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#alec_john_archer_1927> },Does Alec John Archer have a relationship with himself?,"Alec John Archer, born in 1927, has a relationship with Alec John Archer, born in 1927. The property ""hasRelation"" is symmetric.",True,3,2,2,alec_john_archer_1927(3),1,English,BIN,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: fp_34a54ae93c),3.11.9,2025-08-14T16:44:47.481067,0.516,True,0.0,4096,1.0,0.0,0.0
