Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Min Tag Length,Max Tag Length,Task ID temp,Bin_Size of ontology ABox,Bin_Min Tag Length,strata,split
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-MC,family-tree,173,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> ?x },isAncestorOf,ada_steward_1871; arthur_steward_1861; betsy_ann_steward_1865; catherine_steward_1863; elma_ellen_story_1893; fred_steward_1869; george_steward_1856; john_tacey_steward_1873; laura_steward_1859; mary_ellen_steward_1855; minnie_maud_steward_1909; reginald_tacey_steward_1895; richard_henry_steward_1897; thomas_henry_steward_1874; violet_sylvia_steward_1894,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_thomas_tacey_1806-thomas_tacey_1806-isBloodrelationOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#thomas_tacey_1806> <http://www.example.com/genealogy.owl#isBloodrelationOf> <http://www.example.com/genealogy.owl#thomas_tacey_1806> },isBloodrelationOf,TRUE,3,3,1hop-family-tree_thomas_tacey_1806-thomas_tacey_1806-isBloodrelationOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-MC,family-tree,173,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,ada_steward_1871; arthur_steward_1861; betsy_ann_steward_1865; catherine_steward_1863; eleanor_harsley_1808; fred_steward_1869; george_steward_1856; james_steward_1830; john_steward_1802; john_tacey_steward_1873; laura_steward_1859; mary_ellen_steward_1855; mary_hollingsworth_1801; minnie_maud_steward_1909; reginald_tacey_steward_1895; richard_henry_steward_1897; susannah_tacey_1834; thomas_henry_steward_1874; thomas_tacey_1806; violet_sylvia_steward_1894,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type-BIN,family-tree,173,29,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#george_steward_1856> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },rdf:type,TRUE,3,3,1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type,25.0,1.0,25.0_1.0,train
1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type-MC,family-tree,173,29,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#george_steward_1856> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Man; Person,3,3,1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type,25.0,1.0,25.0_1.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#arthur_steward_1861> },hasRelation,TRUE,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-MC,family-tree,173,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> ?x },hasRelation,ada_steward_1871; arthur_steward_1861; betsy_ann_steward_1865; catherine_steward_1863; eleanor_harsley_1808; fred_steward_1869; george_steward_1856; james_steward_1830; john_steward_1802; john_tacey_steward_1873; laura_steward_1859; mary_ellen_steward_1855; mary_hollingsworth_1801; susannah_tacey_1834; thomas_henry_steward_1874; thomas_tacey_1806,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#thomas_tacey_1806> },hasRelation,TRUE,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_violet_sylvia_steward_1894-violet_sylvia_steward_1894-hasFather-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#violet_sylvia_steward_1894> <http://www.example.com/genealogy.owl#hasFather> <http://www.example.com/genealogy.owl#john_tacey_steward_1873> },hasFather,TRUE,3,3,1hop-family-tree_violet_sylvia_steward_1894-violet_sylvia_steward_1894-hasFather,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_steward_1802> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type-BIN,family-tree,173,29,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#george_steward_1856> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,11,1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type,25.0,0.0,25.0_0.0,train
1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type-MC,family-tree,173,29,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#george_steward_1856> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Man; Person,2,11,1hop-family-tree_george_steward_1856-george_steward_1856-rdf:type,25.0,0.0,25.0_0.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },hasRelation,TRUE,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#elma_ellen_story_1893> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_steward_1802-john_steward_1802-isBloodrelationOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_steward_1802> <http://www.example.com/genealogy.owl#isBloodrelationOf> <http://www.example.com/genealogy.owl#john_steward_1802> },isBloodrelationOf,TRUE,3,3,1hop-family-tree_john_steward_1802-john_steward_1802-isBloodrelationOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#laura_steward_1859> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#arthur_steward_1861> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },hasAncestor,TRUE,3,3,1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor,25.0,1.0,25.0_1.0,train
1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor-MC,family-tree,173,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#arthur_steward_1861> <http://www.example.com/genealogy.owl#hasAncestor> ?x },hasAncestor,eleanor_harsley_1808; james_steward_1830; john_steward_1802; mary_hollingsworth_1801; susannah_tacey_1834; thomas_tacey_1806,3,3,1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#george_steward_1856> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#ada_steward_1871> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#arthur_steward_1861> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#thomas_tacey_1806> },hasAncestor,TRUE,3,4,1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor,25.0,1.0,25.0_1.0,train
1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor-MC,family-tree,173,29,Property Assertion,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#arthur_steward_1861> <http://www.example.com/genealogy.owl#hasAncestor> ?x },hasAncestor,eleanor_harsley_1808; james_steward_1830; john_steward_1802; mary_hollingsworth_1801; susannah_tacey_1834; thomas_tacey_1806,3,4,1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor,25.0,1.0,25.0_1.0,train
1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type-BIN,family-tree,173,29,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#richard_henry_steward_1897> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,11,1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type,25.0,0.0,25.0_0.0,train
1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type-MC,family-tree,173,29,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#richard_henry_steward_1897> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Person,2,11,1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type,25.0,0.0,25.0_0.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },hasRelation,TRUE,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },hasRelation,TRUE,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#arthur_steward_1861> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#john_steward_1802> },hasAncestor,TRUE,3,4,1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor,25.0,1.0,25.0_1.0,train
1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#arthur_steward_1861> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },hasAncestor,TRUE,3,4,1hop-family-tree_arthur_steward_1861-arthur_steward_1861-hasAncestor,25.0,1.0,25.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#john_tacey_steward_1873> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_steward_1802> },hasRelation,TRUE,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#minnie_maud_steward_1909> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#laura_steward_1859> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#eleanor_harsley_1808> },hasRelation,TRUE,3,3,1hop-family-tree_ada_steward_1871-ada_steward_1871-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#richard_henry_steward_1897> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#fred_steward_1869> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#richard_henry_steward_1897> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_eleanor_harsley_1808-eleanor_harsley_1808-isParentOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#james_steward_1830> },isParentOf,TRUE,3,3,1hop-family-tree_eleanor_harsley_1808-eleanor_harsley_1808-isParentOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.example.com/genealogy.owl#isAncestorOf> <http://www.example.com/genealogy.owl#catherine_steward_1863> },isAncestorOf,TRUE,3,3,1hop-family-tree_susannah_tacey_1834-susannah_tacey_1834-isAncestorOf,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#thomas_henry_steward_1874> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#arthur_steward_1861> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type-BIN,family-tree,173,29,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#richard_henry_steward_1897> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },rdf:type,TRUE,3,3,1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type,25.0,1.0,25.0_1.0,train
1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type-MC,family-tree,173,29,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#richard_henry_steward_1897> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Person,3,3,1hop-family-tree_richard_henry_steward_1897-richard_henry_steward_1897-rdf:type,25.0,1.0,25.0_1.0,train
1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation-BIN,family-tree,173,29,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#john_tacey_steward_1873> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#violet_sylvia_steward_1894> },hasRelation,TRUE,3,3,1hop-family-tree_john_tacey_steward_1873-john_tacey_steward_1873-hasRelation,25.0,1.0,25.0_1.0,train
