Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Language,Question,gpt-4o-mini_response,deepseek-reasoner_response,llama-4-maverick_response,shortest_tag_complexity,longest_tag_complexity,deepseek-reasoner_response_precision,deepseek-reasoner_response_recall,deepseek-reasoner_response_f1,deepseek-reasoner_response_accuracy,deepseek-reasoner_response_missing,deepseek-reasoner_response_extra,deepseek-reasoner_response_correct,gpt-4o-mini_response_precision,gpt-4o-mini_response_recall,gpt-4o-mini_response_f1,gpt-4o-mini_response_accuracy,gpt-4o-mini_response_missing,gpt-4o-mini_response_extra,gpt-4o-mini_response_correct,llama-4-maverick_response_precision,llama-4-maverick_response_recall,llama-4-maverick_response_f1,llama-4-maverick_response_accuracy,llama-4-maverick_response_missing,llama-4-maverick_response_extra,llama-4-maverick_response_correct
1hop-Thing_alan_john_dowse_1936--type-MC,Thing_alan_john_dowse_1936,43,3,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#alan_john_dowse_1936> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?class },type,"Person, DomainEntity, Man",2,2,8,English,What class or classes does Alan John Dowse belong to?,"Person, Man, Male, Domain entity, Ancestor","Person, Man","Man, Person, Ancestor, Domain entity",1,1,1.0,0.6666666666666666,0.8,0.6666666666666666,domainentity,,"person, man",0.6,1.0,0.7499999999999999,0.6,,"ancestor, male","person, domainentity, man",0.75,1.0,0.8571428571428571,0.75,,ancestor,"person, domainentity, man"
1hop-Thing_alan_john_dowse_1936--type-MC,Thing_alan_john_dowse_1936,43,3,Membership,Multi Choice,SELECT ?class WHERE { <http://www.example.com/genealogy.owl#ethel_archer_1912> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?class },type,"Woman, Ancestor, Person, DomainEntity",2,6,8,English,What class or classes does Ethel Archer belong to?,"Female, Person","Woman, Female","Woman, Person, Female, Ancestor, DomainEntity",7,7,0.5,0.25,0.3333333333333333,0.2,"person, ancestor, domainentity",female,woman,0.5,0.25,0.3333333333333333,0.2,"domainentity, ancestor, woman",female,person,0.8,1.0,0.888888888888889,0.8,,female,"person, ancestor, domainentity, woman"
1hop-Thing_alec_john_archer_1927-paul-hasAncestor-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#alec_john_archer_1927> },hasAncestor,true,2,3,10,English,Does Paul Archer have Alec John Archer as an ancestor?,TRUE,TRUE,TRUE,1,3,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alec_john_archer_1927-paul-hasAncestor-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#violet_heath_1887> },hasAncestor,true,2,4,10,English,Does Paul Archer have Violet Heath as an ancestor?,TRUE,TRUE,TRUE,1,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alec_john_archer_1927-paul-hasAncestor-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#hasAncestor> <http://www.example.com/genealogy.owl#james_alexander_archer_1882> },hasAncestor,true,2,4,10,English,Does Paul Archer have James Alexander Archer as an ancestor?,TRUE,TRUE,TRUE,1,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alec_john_archer_1927-paul-isSiblingOf-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#isSiblingOf> <http://www.example.com/genealogy.owl#anne_archer_1964> },isSiblingOf,true,2,2,10,English,Are Paul Archer and Anne Archer siblings?,TRUE,FALSE,TRUE,3,8,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alec_john_archer_1927-paul-isSiblingOf-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#isSiblingOf> <http://www.example.com/genealogy.owl#clare_archer_1957> },isSiblingOf,true,2,2,10,English,Are Paul Archer and Clare Archer siblings?,TRUE,TRUE,TRUE,2,8,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alec_john_archer_1927-paul-isSiblingOf-BIN,Thing_alec_john_archer_1927,43,8,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#isSiblingOf> <http://www.example.com/genealogy.owl#helen_archer_1955> },isSiblingOf,true,2,2,10,English,Are Paul Archer and Helen Archer siblings?,TRUE,FALSE,TRUE,3,8,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alec_john_archer_1927-paul-hasAncestor-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#hasAncestor> ?object },hasAncestor,"alec_john_archer_1927, james_alexander_archer_1882, violet_heath_1887",2,4,10,English,Who are the ancestors of Paul Archer?,"james_alexander_archer_1882, violet_heath_1887, alec_john_archer_1927","alec_john_archer_1927, james_alexander_archer_1882, violet_heath_1887","Ancestor, james_alexander_archer_1882, violet_heath_1887",1,3,1.0,1.0,1.0,1.0,,,"james_alexander_archer_1882, alec_john_archer_1927, violet_heath_1887",1.0,1.0,1.0,1.0,,,"james_alexander_archer_1882, violet_heath_1887, alec_john_archer_1927",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,alec_john_archer_1927,ancestor,"james_alexander_archer_1882, violet_heath_1887"
1hop-Thing_alec_john_archer_1927-paul-isSiblingOf-MC,Thing_alec_john_archer_1927,43,8,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#paul_archer_1950> <http://www.example.com/genealogy.owl#isSiblingOf> ?object },isSiblingOf,"clare_archer_1957, anne_archer_1964, helen_archer_1955",2,2,10,English,Who is a sibling of Paul Archer?,"alec_john_archer_1927, iris_ellen_archer_1906",,"helen_archer_1955, anne_archer_1964, paul_archer_1950, clare_archer_1957",3,8,0.0,0.0,0.0,0.0,"clare_archer_1957, helen_archer_1955, anne_archer_1964",,,0.0,0.0,0.0,0.0,"clare_archer_1957, helen_archer_1955, anne_archer_1964","iris_ellen_archer_1906, alec_john_archer_1927",,0.75,1.0,0.8571428571428571,0.75,,paul_archer_1950,"clare_archer_1957, helen_archer_1955, anne_archer_1964"
1hop-Thing_alfred_steward_1846-eleanor-isParentOf-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#alfred_steward_1846> },isParentOf,true,1,3,10,English,Is Eleanor Harsley a parent of Alfred Steward?,TRUE,FALSE,TRUE,1,3,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alfred_steward_1846-alfred-hasParent-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alfred_steward_1846> <http://www.example.com/genealogy.owl#hasParent> <http://www.example.com/genealogy.owl#eleanor_harsley_1808> },hasParent,true,1,3,10,English,Does Alfred Steward have Eleanor Harsley as a parent?,TRUE,TRUE,TRUE,1,2,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alfred_steward_1846-alfred-hasParent-BIN,Thing_alfred_steward_1846,43,4,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#alfred_steward_1846> <http://www.example.com/genealogy.owl#hasParent> <http://www.example.com/genealogy.owl#john_steward_1802> },hasParent,true,1,3,10,English,Does Alfred Steward have John Steward as a parent?,TRUE,FALSE,TRUE,1,2,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alfred_steward_1846-eleanor-isParentOf-MC,Thing_alfred_steward_1846,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#isParentOf> ?object },isParentOf,alfred_steward_1846,1,3,10,English,Which individuals are children of Eleanor Harsley?,alfred_steward_1846,alfred_steward_1846,alfred_steward_1846,1,3,1.0,1.0,1.0,1.0,,,alfred_steward_1846,1.0,1.0,1.0,1.0,,,alfred_steward_1846,1.0,1.0,1.0,1.0,,,alfred_steward_1846
1hop-Thing_alfred_steward_1846-alfred-hasParent-MC,Thing_alfred_steward_1846,43,4,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#alfred_steward_1846> <http://www.example.com/genealogy.owl#hasParent> ?object },hasParent,"john_steward_1802, eleanor_harsley_1808",1,3,10,English,Who is the parent of Alfred Steward?,"eleanor_harsley_1808, john_steward_1802","eleanor_harsley_1808, john_steward_1802","john_steward_1802, eleanor_harsley_1808",1,2,1.0,1.0,1.0,1.0,,,"john_steward_1802, eleanor_harsley_1808",1.0,1.0,1.0,1.0,,,"john_steward_1802, eleanor_harsley_1808",1.0,1.0,1.0,1.0,,,"john_steward_1802, eleanor_harsley_1808"
1hop-Thing_alfred_steward_1846-houghton-type-BIN,Thing_alfred_steward_1846,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#houghton_steward_1841> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },type,true,2,2,10,English,Is Houghton Steward a person?,TRUE,FALSE,TRUE,7,7,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_alfred_steward_1846-houghton-type-BIN,Thing_alfred_steward_1846,43,4,Membership,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#houghton_steward_1841> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },type,true,2,2,10,English,Is Houghton Steward a domain entity?,TRUE,FALSE,TRUE,7,7,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-amanda-hasChild-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#hasChild> <http://www.example.com/genealogy.owl#finlay_alex_clamper_2002> },hasChild,true,2,3,10,English,Does Amanda Usher have a child named Finlay Alex Clamper?,TRUE,TRUE,TRUE,1,3,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-louise-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#louise_clamper_1998> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#finlay_alex_clamper_2002> },hasRelation,true,2,4,10,English,Is there a relationship between Louise Clamper and Finlay Alex Clamper?,TRUE,TRUE,TRUE,2,8,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-louise-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#louise_clamper_1998> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#amanda_usher_1968> },hasRelation,true,2,4,10,English,Is there a relationship between Louise Clamper and Amanda Usher?,TRUE,TRUE,TRUE,3,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-amanda-hasChild-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#hasChild> <http://www.example.com/genealogy.owl#louise_clamper_1998> },hasChild,true,2,3,10,English,Does Amanda Usher have a child named Louise Clamper?,TRUE,FALSE,TRUE,1,3,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-louise-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#louise_clamper_1998> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#patricia_ann_kingswood_1944> },hasRelation,true,2,4,10,English,Is Louise Clamper related to Patricia Ann Kingswood?,TRUE,TRUE,TRUE,2,4,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-amanda-hasChild-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#hasChild> <http://www.example.com/genealogy.owl#mega_clamper_1995> },hasChild,true,2,3,10,English,Does Amanda Usher have a child named Mega Clamper?,TRUE,FALSE,TRUE,1,3,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-louise-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#louise_clamper_1998> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mega_clamper_1995> },hasRelation,true,2,4,10,English,Is there a relationship between Louise Clamper and Mega Clamper?,TRUE,FALSE,TRUE,2,8,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-amanda-hasParent-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#hasParent> <http://www.example.com/genealogy.owl#patricia_ann_kingswood_1944> },hasParent,true,2,2,10,English,Does Amanda Usher have Patricia Ann Kingswood as a parent?,TRUE,FALSE,TRUE,1,2,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-louise-hasRelation-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#louise_clamper_1998> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#andrew_usher_1965> },hasRelation,true,20,20,1,English,Is Louise Clamper related to Andrew Usher?,TRUE,FALSE,TRUE,4,4,0.0,0.0,0.0,0.0,true,false,,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-patricia-isParentOf-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#patricia_ann_kingswood_1944> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#amanda_usher_1968> },isParentOf,true,2,2,10,English,Is Patricia Ann Kingswood the parent of Amanda Usher?,TRUE,TRUE,TRUE,1,3,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-amanda-isSisterOf-BIN,Thing_amanda_usher_1968,43,6,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#isSisterOf> <http://www.example.com/genealogy.owl#andrew_usher_1965> },isSisterOf,true,1,1,1,English,Is Amanda Usher the sister of Andrew Usher?,TRUE,TRUE,TRUE,0,0,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true,1.0,1.0,1.0,1.0,,,true
1hop-Thing_amanda_usher_1968-amanda-isSisterOf-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#isSisterOf> ?object },isSisterOf,andrew_usher_1965,1,1,1,English,Who is the sibling of Amanda Usher?,andrew_usher_1965,andrew_usher_1965,andrew_usher_1965,0,0,1.0,1.0,1.0,1.0,,,andrew_usher_1965,1.0,1.0,1.0,1.0,,,andrew_usher_1965,1.0,1.0,1.0,1.0,,,andrew_usher_1965
1hop-Thing_amanda_usher_1968-amanda-hasChild-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#hasChild> ?object },hasChild,"mega_clamper_1995, louise_clamper_1998, finlay_alex_clamper_2002",2,3,10,English,Which children are associated with Amanda Usher?,"finlay_alex_clamper_2002, louise_clamper_1998, mega_clamper_1995","finlay_alex_clamper_2002, louise_clamper_1998, mega_clamper_1995","mega_clamper_1995, louise_clamper_1998, finlay_alex_clamper_2002",1,3,1.0,1.0,1.0,1.0,,,"finlay_alex_clamper_2002, mega_clamper_1995, louise_clamper_1998",1.0,1.0,1.0,1.0,,,"finlay_alex_clamper_2002, mega_clamper_1995, louise_clamper_1998",1.0,1.0,1.0,1.0,,,"finlay_alex_clamper_2002, mega_clamper_1995, louise_clamper_1998"
1hop-Thing_amanda_usher_1968-amanda-hasParent-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#amanda_usher_1968> <http://www.example.com/genealogy.owl#hasParent> ?object },hasParent,patricia_ann_kingswood_1944,2,2,10,English,Who is the parent of Amanda Usher?,patricia_ann_kingswood_1944,patricia_ann_kingswood_1944,patricia_ann_kingswood_1944,1,2,1.0,1.0,1.0,1.0,,,patricia_ann_kingswood_1944,1.0,1.0,1.0,1.0,,,patricia_ann_kingswood_1944,1.0,1.0,1.0,1.0,,,patricia_ann_kingswood_1944
1hop-Thing_amanda_usher_1968-louise-hasRelation-MC,Thing_amanda_usher_1968,43,6,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#louise_clamper_1998> <http://www.example.com/genealogy.owl#hasRelation> ?object },hasRelation,"patricia_ann_kingswood_1944, mega_clamper_1995, andrew_usher_1965, finlay_alex_clamper_2002, amanda_usher_1968",6,7,8,English,Which individuals are related to Louise Clamper?,amanda_usher_1968,amanda_usher_1968,"louise_clamper_1998, mega_clamper_1995, finlay_alex_clamper_2002, amanda_usher_1968, Person, Woman",4,4,1.0,0.2,0.33333333333333337,0.2,"andrew_usher_1965, finlay_alex_clamper_2002, patricia_ann_kingswood_1944, mega_clamper_1995",,amanda_usher_1968,1.0,0.2,0.33333333333333337,0.2,"andrew_usher_1965, finlay_alex_clamper_2002, patricia_ann_kingswood_1944, mega_clamper_1995",,amanda_usher_1968,0.5,0.6,0.5454545454545454,0.375,"andrew_usher_1965, patricia_ann_kingswood_1944","person, woman, louise_clamper_1998","amanda_usher_1968, finlay_alex_clamper_2002, mega_clamper_1995"
