Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Avg Min Explanation Size,Avg Max Explanation Size,Avg Explanation Count,Task ID temp,Bin_Size of ontology ABox,Bin_Avg Min Explanation Size,strata,split,Language,Question
1hop-Thing_ada_rachel_heath_1868-john-isParentOf-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> },isParentOf,true,1,3,10,1hop-Thing_ada_rachel_heath_1868-john-isParentOf,9.0,8.0,9.0_8.0,train,English,Is John Heath a parent of Lemuel Frederick Heath?
1hop-Thing_ada_rachel_heath_1868-john-isParentOf-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },isParentOf,true,1,3,10,1hop-Thing_ada_rachel_heath_1868-john-isParentOf,9.0,8.0,9.0_8.0,train,English,Is John Heath a parent of Gwendoline Heath?
1hop-Thing_ada_rachel_heath_1868-john-isParentOf-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> },isParentOf,true,1,3,10,1hop-Thing_ada_rachel_heath_1868-john-isParentOf,9.0,8.0,9.0_8.0,train,English,Is John Heath a parent of Ada Rachel Heath?
1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> },isMotherOf,true,1,1,1,1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf,9.0,8.0,9.0_8.0,train,English,Is Sarah Jacobs the mother of Lemuel Frederick Heath?
1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },isMotherOf,true,1,1,1,1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf,9.0,8.0,9.0_8.0,train,English,Is Sarah Jacobs the mother of Gwendoline Heath?
1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> },isMotherOf,true,1,1,1,1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf,9.0,8.0,9.0_8.0,train,English,Is Sarah Jacobs the mother of Ada Rachel Heath?
1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf-BIN,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> <http://www.example.com/genealogy.owl#william_lock_jacobs_1861> },isMotherOf,true,1,1,1,1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf,9.0,8.0,9.0_8.0,train,English,Is Sarah Jacobs the mother of William Lock Jacobs?
1hop-Thing_ada_rachel_heath_1868-sarah-hasHusband-MC,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#hasHusband> ?object },hasHusband,john_heath,2,3,10,1hop-Thing_ada_rachel_heath_1868-sarah-hasHusband,9.0,17.0,9.0_17.0,train,English,Who is the husband of Sarah Jacobs?
1hop-Thing_ada_rachel_heath_1868-john-isParentOf-MC,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#john_heath> <http://www.example.com/genealogy.owl#isParentOf> ?object },isParentOf,"lemuel_frederick_heath_1871, ada_rachel_heath_1868, gwendoline_heath_1878",1,3,10,1hop-Thing_ada_rachel_heath_1868-john-isParentOf,9.0,8.0,9.0_8.0,train,English,Which individuals are children of John Heath?
1hop-Thing_ada_rachel_heath_1868-gwendoline-hasFather-MC,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.example.com/genealogy.owl#hasFather> ?object },hasFather,john_heath,1,2,10,1hop-Thing_ada_rachel_heath_1868-gwendoline-hasFather,9.0,8.0,9.0_8.0,train,English,Who is the father of Gwendoline Heath?
1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf-MC,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#isMotherOf> ?object },isMotherOf,"lemuel_frederick_heath_1871, william_lock_jacobs_1861, ada_rachel_heath_1868, gwendoline_heath_1878",1,1,1,1hop-Thing_ada_rachel_heath_1868-sarah-isMotherOf,9.0,8.0,9.0_8.0,train,English,Who are the children of Sarah Jacobs?
1hop-Thing_ada_rachel_heath_1868-lemuel-hasSister-MC,Thing_ada_rachel_heath_1868,43,18,Property Assertion,Multi Choice,SELECT ?object WHERE { <http://www.example.com/genealogy.owl#lemuel_frederick_heath_1871> <http://www.example.com/genealogy.owl#hasSister> ?object },hasSister,gwendoline_heath_1878,1,2,10,1hop-Thing_ada_rachel_heath_1868-lemuel-hasSister,9.0,8.0,9.0_8.0,train,English,Who is the sister of Lemuel Frederick Heath?
1hop-Thing_ada_steward_1871-m159-hasFemalePartner-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#m159> <http://www.example.com/genealogy.owl#hasFemalePartner> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },hasFemalePartner,true,1,1,1,1hop-Thing_ada_steward_1871-m159-hasFemalePartner,31.0,8.0,31.0_8.0,train,English,Does the individual identified as m159 have a female partner named Susannah Tacey?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },hasRelation,true,1,4,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,8.0,31.0_8.0,train,English,Is there a relationship between Eleanor Harsley and James Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#minnie_maud_steward_1909> },hasRelation,true,2,7,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Minnie Maud Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#catherine_steward_1863> },hasRelation,true,2,6,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Catherine Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#houghton_steward_1841> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,35.0,31.0_35.0,train,English,Is there a relationship between Eleanor Harsley and Houghton Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },hasRelation,true,2,6,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Betsy Ann Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_william_tacey_1841> },hasRelation,true,0,0,0,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,,31.0_nan,train,English,Is there a relationship between Eleanor Harsley and John William Tacey?
1hop-Thing_ada_steward_1871-elma-hasMother-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#elma_ellen_story_1893> <http://www.example.com/genealogy.owl#hasMother> <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> },hasMother,true,1,2,10,1hop-Thing_ada_steward_1871-elma-hasMother,31.0,8.0,31.0_8.0,train,English,Does Elma Ellen Story have Mary Ellen Steward as her mother?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#richard_henry_steward_1897> },hasRelation,true,2,7,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Richard Henry Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#fred_steward_1869> },hasRelation,true,2,6,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Fred Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_steward_1802> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,35.0,31.0_35.0,train,English,Is there a relationship between Eleanor Harsley and John Steward?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },hasRelation,true,2,4,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,17.0,31.0_17.0,train,English,Is Reginald Tacey Steward related to James Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,35.0,31.0_35.0,train,English,Is there a relationship between Eleanor Harsley and Mary Hollingsworth?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#minnie_maud_steward_1909> },hasRelation,true,2,7,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Reginald Tacey Steward and Minnie Maud Steward?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#catherine_steward_1863> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,35.0,31.0_35.0,train,English,Is Reginald Tacey Steward related to Catherine Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> },hasRelation,true,2,7,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Reginald Tacey Steward?
1hop-Thing_ada_steward_1871-ada-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },hasRelation,true,1,4,10,1hop-Thing_ada_steward_1871-ada-hasRelation,31.0,8.0,31.0_8.0,train,English,Is Ada Steward related to James Steward?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#houghton_steward_1841> },hasRelation,true,4,4,3,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,35.0,31.0_35.0,train,English,Is Reginald Tacey Steward related to Houghton Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },hasRelation,true,3,4,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,26.0,31.0_26.0,train,English,Is there a relationship between Eleanor Harsley and Susannah Tacey?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,35.0,31.0_35.0,train,English,Is there a relationship between Reginald Tacey Steward and Betsy Ann Steward?
1hop-Thing_ada_steward_1871-ada-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#minnie_maud_steward_1909> },hasRelation,true,3,4,10,1hop-Thing_ada_steward_1871-ada-hasRelation,31.0,26.0,31.0_26.0,train,English,Is there a relationship between Ada Steward and Minnie Maud Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#george_steward_1856> },hasRelation,true,2,6,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and George Steward?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_william_tacey_1841> },hasRelation,true,4,4,3,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,35.0,31.0_35.0,train,English,Is Reginald Tacey Steward related to John William Tacey?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#arthur_steward_1861> },hasRelation,true,2,6,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Arthur Steward?
1hop-Thing_ada_steward_1871-ada-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#catherine_steward_1863> },hasRelation,true,2,7,10,1hop-Thing_ada_steward_1871-ada-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Ada Steward and Catherine Steward?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#richard_henry_steward_1897> },hasRelation,true,2,7,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Reginald Tacey Steward and Richard Henry Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#laura_steward_1859> },hasRelation,true,2,6,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Laura Steward?
1hop-Thing_ada_steward_1871-ada-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#houghton_steward_1841> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-ada-hasRelation,31.0,35.0,31.0_35.0,train,English,Is there a relationship between Ada Steward and Houghton Steward?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#fred_steward_1869> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,35.0,31.0_35.0,train,English,Is Reginald Tacey Steward related to Fred Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#george_tacey_1831> },hasRelation,true,0,0,0,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,,31.0_nan,train,English,Is there a relationship between Eleanor Harsley and George Tacey?
1hop-Thing_ada_steward_1871-ada-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },hasRelation,true,2,7,10,1hop-Thing_ada_steward_1871-ada-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Ada Steward and Betsy Ann Steward?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_steward_1802> },hasRelation,true,2,5,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Reginald Tacey Steward and John Steward?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#harsley_steward_1839> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,35.0,31.0_35.0,train,English,Is there a relationship between Eleanor Harsley and Harsley Steward?
1hop-Thing_ada_steward_1871-ada-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_william_tacey_1841> },hasRelation,true,4,4,10,1hop-Thing_ada_steward_1871-ada-hasRelation,31.0,35.0,31.0_35.0,train,English,Is there a relationship between Ada Steward and John William Tacey?
1hop-Thing_ada_steward_1871-reginald-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },hasRelation,true,2,5,10,1hop-Thing_ada_steward_1871-reginald-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Reginald Tacey Steward and Mary Hollingsworth?
1hop-Thing_ada_steward_1871-eleanor-hasRelation-BIN,Thing_ada_steward_1871,43,56,Property Assertion,Binary,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ada_steward_1871> },hasRelation,true,2,6,10,1hop-Thing_ada_steward_1871-eleanor-hasRelation,31.0,17.0,31.0_17.0,train,English,Is there a relationship between Eleanor Harsley and Ada Steward?
