SPARQL_index,SPARQL_query,generated_question,language,answer_type,task_type,model,model_version,python_version,timestamp_request,response_time_sec,response_preview,success,temperature,max_tokens,top_p,presence_penalty,frequency_penalty
25,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#catherine_steward_1863> },Is there a relationship between Eleanor Harsley and Catherine Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:06.595695,0.446,Is there a relationship between Eleanor Harsley and Catherine Steward?,True,0.0,4096,1.0,0.0,0.0
26,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#houghton_steward_1841> },Is there a relationship between Eleanor Harsley and Houghton Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:07.205563,0.508,Is there a relationship between Eleanor Harsley and Houghton Steward?,True,0.0,4096,1.0,0.0,0.0
27,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },Is there a relationship between Eleanor Harsley and Betsy Ann Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:07.798284,0.492,Is there a relationship between Eleanor Harsley and Betsy Ann Steward?,True,0.0,4096,1.0,0.0,0.0
28,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_william_tacey_1841> },Is there a relationship between Eleanor Harsley and John William Tacey?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:08.538720,0.64,Is there a relationship between Eleanor Harsley and John William Tacey?,True,0.0,4096,1.0,0.0,0.0
29,ASK WHERE { <http://www.example.com/genealogy.owl#elma_ellen_story_1893> <http://www.example.com/genealogy.owl#hasMother> <http://www.example.com/genealogy.owl#mary_ellen_steward_1855> },Does Elma Ellen Story have Mary Ellen Steward as her mother?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:09.368312,0.728,Does Elma Ellen Story have Mary Ellen Steward as her mother?,True,0.0,4096,1.0,0.0,0.0
30,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#richard_henry_steward_1897> },Is there a relationship between Eleanor Harsley and Richard Henry Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:10.184017,0.715,Is there a relationship between Eleanor Harsley and Richard Henry Steward?,True,0.0,4096,1.0,0.0,0.0
31,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#fred_steward_1869> },Is there a relationship between Eleanor Harsley and Fred Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:11.009619,0.724,Is there a relationship between Eleanor Harsley and Fred Steward?,True,0.0,4096,1.0,0.0,0.0
32,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_steward_1802> },Is there a relationship between Eleanor Harsley and John Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:12.202083,1.091,Is there a relationship between Eleanor Harsley and John Steward?,True,0.0,4096,1.0,0.0,0.0
33,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },Is Reginald Tacey Steward related to James Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:13.084670,0.78,Is Reginald Tacey Steward related to James Steward?,True,0.0,4096,1.0,0.0,0.0
34,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },Is there a relationship between Eleanor Harsley and Mary Hollingsworth?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:14.218885,1.034,Is there a relationship between Eleanor Harsley and Mary Hollingsworth?,True,0.0,4096,1.0,0.0,0.0
35,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#minnie_maud_steward_1909> },Is there a relationship between Reginald Tacey Steward and Minnie Maud Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:15.441880,1.121,Is there a relationship between Reginald Tacey Steward and Minnie Maud Steward?,True,0.0,4096,1.0,0.0,0.0
36,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#catherine_steward_1863> },Is Reginald Tacey Steward related to Catherine Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:16.302586,0.759,Is Reginald Tacey Steward related to Catherine Steward?,True,0.0,4096,1.0,0.0,0.0
37,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> },Is there a relationship between Eleanor Harsley and Reginald Tacey Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:17.042175,0.638,Is there a relationship between Eleanor Harsley and Reginald Tacey Steward?,True,0.0,4096,1.0,0.0,0.0
38,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#james_steward_1830> },Is Ada Steward related to James Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:17.869982,0.725,Is Ada Steward related to James Steward?,True,0.0,4096,1.0,0.0,0.0
39,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#houghton_steward_1841> },Is Reginald Tacey Steward related to Houghton Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:18.880770,0.909,Is Reginald Tacey Steward related to Houghton Steward?,True,0.0,4096,1.0,0.0,0.0
40,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },Is there a relationship between Eleanor Harsley and Susannah Tacey?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:19.433769,0.453,Is there a relationship between Eleanor Harsley and Susannah Tacey?,True,0.0,4096,1.0,0.0,0.0
41,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },Is there a relationship between Reginald Tacey Steward and Betsy Ann Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:20.222976,0.688,Is there a relationship between Reginald Tacey Steward and Betsy Ann Steward?,True,0.0,4096,1.0,0.0,0.0
42,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#minnie_maud_steward_1909> },Is there a relationship between Ada Steward and Minnie Maud Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:21.030802,0.707,Is there a relationship between Ada Steward and Minnie Maud Steward?,True,0.0,4096,1.0,0.0,0.0
43,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#george_steward_1856> },Is there a relationship between Eleanor Harsley and George Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:21.653621,0.522,Is there a relationship between Eleanor Harsley and George Steward?,True,0.0,4096,1.0,0.0,0.0
44,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_william_tacey_1841> },Is Reginald Tacey Steward related to John William Tacey?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:22.606067,0.851,Is Reginald Tacey Steward related to John William Tacey?,True,0.0,4096,1.0,0.0,0.0
45,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#arthur_steward_1861> },Is there a relationship between Eleanor Harsley and Arthur Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:23.378995,0.671,Is there a relationship between Eleanor Harsley and Arthur Steward?,True,0.0,4096,1.0,0.0,0.0
46,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#catherine_steward_1863> },Is there a relationship between Ada Steward and Catherine Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:24.195884,0.716,Is there a relationship between Ada Steward and Catherine Steward?,True,0.0,4096,1.0,0.0,0.0
47,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#richard_henry_steward_1897> },Is there a relationship between Reginald Tacey Steward and Richard Henry Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:25.148844,0.851,Is there a relationship between Reginald Tacey Steward and Richard Henry Steward?,True,0.0,4096,1.0,0.0,0.0
48,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#laura_steward_1859> },Is there a relationship between Eleanor Harsley and Laura Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:26.295452,1.046,Is there a relationship between Eleanor Harsley and Laura Steward?,True,0.0,4096,1.0,0.0,0.0
49,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#houghton_steward_1841> },Is there a relationship between Ada Steward and Houghton Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:27.157482,0.761,Is there a relationship between Ada Steward and Houghton Steward?,True,0.0,4096,1.0,0.0,0.0
50,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#fred_steward_1869> },Is Reginald Tacey Steward related to Fred Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:28.189677,0.88,Is Reginald Tacey Steward related to Fred Steward?,True,0.0,4096,1.0,0.0,0.0
51,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#george_tacey_1831> },Is there a relationship between Eleanor Harsley and George Tacey?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:29.021861,0.729,Is there a relationship between Eleanor Harsley and George Tacey?,True,0.0,4096,1.0,0.0,0.0
52,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#betsy_ann_steward_1865> },Is there a relationship between Ada Steward and Betsy Ann Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:30.509397,1.387,Is there a relationship between Ada Steward and Betsy Ann Steward?,True,0.0,4096,1.0,0.0,0.0
53,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_steward_1802> },Is there a relationship between Reginald Tacey Steward and John Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:31.629190,1.018,Is there a relationship between Reginald Tacey Steward and John Steward?,True,0.0,4096,1.0,0.0,0.0
54,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#harsley_steward_1839> },Is there a relationship between Eleanor Harsley and Harsley Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:32.336698,0.607,Is there a relationship between Eleanor Harsley and Harsley Steward?,True,0.0,4096,1.0,0.0,0.0
55,ASK WHERE { <http://www.example.com/genealogy.owl#ada_steward_1871> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#john_william_tacey_1841> },Is there a relationship between Ada Steward and John William Tacey?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:33.042980,0.604,Is there a relationship between Ada Steward and John William Tacey?,True,0.0,4096,1.0,0.0,0.0
56,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#mary_hollingsworth_1801> },Is there a relationship between Reginald Tacey Steward and Mary Hollingsworth?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:33.984373,0.84,Is there a relationship between Reginald Tacey Steward and Mary Hollingsworth?,True,0.0,4096,1.0,0.0,0.0
57,ASK WHERE { <http://www.example.com/genealogy.owl#eleanor_harsley_1808> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#ada_steward_1871> },Is there a relationship between Eleanor Harsley and Ada Steward?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:34.846824,0.761,Is there a relationship between Eleanor Harsley and Ada Steward?,True,0.0,4096,1.0,0.0,0.0
58,ASK WHERE { <http://www.example.com/genealogy.owl#reginald_tacey_steward_1895> <http://www.example.com/genealogy.owl#hasRelation> <http://www.example.com/genealogy.owl#susannah_tacey_1834> },Is there a relationship between Reginald Tacey Steward and Susannah Tacey?,English,Binary,Property Assertion,gpt-4o-mini,gpt-4o-mini-2024-07-18 (fingerprint: None),3.12.4,2025-07-19T15:57:35.407769,0.46,Is there a relationship between Reginald Tacey Steward and Susannah Tacey?,True,0.0,4096,1.0,0.0,0.0
